station_name,latitude_x,longitude_x,available_bikes,poi_name,category,rating,review_count,latitude_y,longitude_y
#00126-SALLES DES FÊTES HOLZEM,49.615901,5.993194,9,,,,,,
#00109-FOYER,49.569178,6.08175,2,,,,,,
#00053-LUDWIG VAN BEETHOVEN,49.59,6.1172,2,,,,,,
#00013-GELLE FRA,49.60951,6.128503,4,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00116-CHARLY'S STATION,49.649823,6.225796,2,,,,,,
#00061-FRIEDEN,49.637327,6.164573,5,,,,,,
#00077-FUNICULAIRE,49.618823,6.136324,3,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00067-MAIRIE DE HESPERANGE,49.571924,6.15965,10,,,,,,
#00139-HUESCHTERT,49.657941,6.231683,0,,,,,,
#00038-HELLEG GEESCHT,49.60771,6.13456,4,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00060-BOCH,49.61925,6.10842,7,,,,,,
#00004-ROCADE,49.602989,6.136083,6,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00011-WINSTON CHURCHILL,49.611317,6.120003,0,,,,,,
#00016-AMELIE,49.613339,6.125794,3,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00030-MERKELS PLAZ,49.599846,6.122565,6,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00130-LYCÉE JOSY BARTEL MAMER,49.622397,6.036232,2,,,,,,
#00059-ST HUBERT,49.60289,6.09322,12,,,,,,
#00110-ROND-POINT GAASSCHTBIERG,49.627159,6.031948,6,,,,,,
#00009-CONVICT,49.6059,6.1199,4,,,,,,
#00103-ALZINGEN GÄSSEL,49.568074,6.163927,5,,,,,,
#00081-CARMEL,49.62019,6.172682,0,,,,,,
#00039-KRAIZGRENNCHEN,49.613316,6.117582,11,,,,,,
#00075-BEINCHEN,49.61561,6.13097,6,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00029-MONTEREY,49.609583,6.119523,3,,,,,,
#00114-ROND-POINT MOTEL,49.641375,6.001651,7,,,,,,
#00056-FISCHERHAFF,49.5911,6.1057,8,,,,,,
#00064-GRENIER,49.59383,6.14327,9,,,,,,
#00136-NENNIG,49.633322,6.136676,12,,,,,,
#00099-CAMPUS CENTS,49.617566,6.165165,3,,,,,,
#00005-PARAISER PLAZ,49.603694,6.130189,4,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00141-RUE DU PONT BERELDANGE,49.649839,6.127978,8,,,,,,
#00051-SAUERWISS,49.594088,6.125123,2,,,,,,
#00115-CENTRE CULTUREL CAP,49.645239,5.987938,10,,,,,,
#00057-BOUILLON,49.60001,6.10826,14,,,,,,
#00007-ROUSEGAERTCHEN,49.605818,6.129062,0,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00127-MAMBRA,49.63189,6.021562,2,,,,,,
#00026-HOLLERECHER PLAZ,49.598613,6.117957,14,,,,,,
#00105-ITZIG PLATEAU/HUBERTUSPAD,49.587633,6.170123,8,,,,,,
#00085-EINSTEIN,49.5842,6.1249,0,,,,,,
#00137-PARC GASPERICH,49.586766,6.122404,1,,,,,,
#00066-BEIM TENNIS,49.579231,6.134018,11,,,,,,
#00083-PULVERMÜHL,49.608758,6.149591,13,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00024-WEICKER,49.631952,6.17048,5,,,,,,
#00093-GODCHAUX (BONNEVOIE),49.601652,6.145533,13,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00078-ST MATHIEU,49.619061,6.1323,5,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00102-FENTANGE HIEHL,49.567771,6.152463,12,,,,,,
#00055-SCHAARFEN ECK,49.58043,6.11465,0,,,,,,
#00028-CHARLY'S GARE,49.61258,6.12391,6,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00134-STADE HENRI-DUNANT,49.646906,6.134279,7,,,,,,
#00045-AUBEPINES,49.61212,6.09749,5,,,,,,
#00010-MÄRELER PARC,49.608146,6.111627,4,,,,,,
#00027-MERCIER,49.5986,6.132119,8,,,,,,
#00108-EDELECK,49.565477,6.079436,0,,,,,,
#00096-BERTRANGE - GARE,49.613161,6.060382,3,,,,,,
#00017-ROBERT SCHUMAN,49.616669,6.126069,9,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00022-CAMPUS KIRCHBIERG,49.6264,6.1613,2,,,,,,
#00076-SAUVAGE,49.62521,6.13938,8,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00131-EUROPASCHOUL MAMER,49.618073,6.037591,5,,,,,,
#00097-HELFENT (PARKING),49.603644,6.077783,5,,,,,,
#00006-AL BRÉCK,49.60481,6.133404,4,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00042-SQUARE ANDRE,49.6238,6.1188,8,,,,,,
#00018-CAMPUS LAMPERTSBIERG,49.6219,6.1118,2,,,,,,
#00054-CLOCHE D'OR,49.583377,6.115817,6,,,,,,
#00125-POLICE CAPELLEN,49.644089,5.992759,4,,,,,,
#00146-STADE DE LUXEMBOURG,49.57681,6.110465,3,,,,,,
#00140-LAACH,49.651348,6.255547,8,,,,,,
#00128-GARE MAMER,49.625695,6.020409,13,,,,,,
#00088-SERRA,49.635423,6.176061,13,,,,,,
#00062-LEYDENBACH,49.62915,6.173101,2,,,,,,
#00070-GEMENG STROOSSEN,49.61909,6.07227,7,,,,,,
#00003-STROOSSBUERGER PLAZ,49.600415,6.129234,6,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00113-EDEMER,49.629363,6.017927,4,,,,,,
#00121-BARTRENG - RUE KIEM,49.617394,6.047817,6,,,,,,
#00092-BRILL (CESSANGE),49.58914,6.099213,13,,,,,,
#00050-EUROPAPARLAMENT,49.620607,6.147885,0,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00035-GASTON DIDERICH,49.609904,6.106099,10,,,,,,
#00071-LES THERMES,49.61489,6.07275,2,,,,,,
#00091-MERSCH (MÜHLENBACH),49.627834,6.122333,13,,,,,,
#00002-GARE CENTRALE 2,49.601051,6.133744,20,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00104-ITZIG VILLAGE/PLACE MANDERSCHEID,49.58574,6.171965,7,,,,,,
#00063-LABOURS,49.6301,6.16843,4,,,,,,
#00106-LEUDELANGE CENTRE,49.567305,6.064291,4,,,,,,
#00036-J.B. GELLE,49.596838,6.140615,7,,,,,,
#00033-K. ADENAUER,49.620586,6.138998,4,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00047-LEOPOLD GOEBEL,49.6122,6.1072,9,,,,,,
#00123-BELLE ETOILE,49.62187,6.051072,3,,,,,,
#00135-HAMMES,49.623341,6.143717,1,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00117-SYRDALL SCHWEMM,49.65314,6.245365,9,,,,,,
#00034-KOLLEISCH,49.604577,6.111927,21,,,,,,
#00072-AN DER BOURMICHT,49.61086,6.08097,10,,,,,,
#00082-GARE CENTS-HAMM,49.614749,6.164772,11,,,,,,
#00144-WALFERDANGE GARE,49.66151,6.135785,2,,,,,,
#00008-METZER PLAZ,49.607346,6.12762,1,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00068-UM SCHLASS,49.57337,6.14397,3,,,,,,
#00025-KIEM,49.634283,6.166633,2,,,,,,
#00090-HUBERTY (MÜHLENBACH),49.6294701613971,6.11780413988129,9,,,,,,
#00065-BEI DER SCHOUL,49.58421,6.14202,8,,,,,,
#00021-JEAN MONNET,49.625714,6.148347,1,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00094-HAMM-COLONIE,49.606983,6.154863,9,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00098-CITY CONCORDE,49.600592,6.065794,9,,,,,,
#00100-FORT NIEDERGRÜNEWALD,49.619439,6.140894,4,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00073-JEANNE D'ARC,49.59691,6.147957,9,,,,,,
#00023-REIMERWEE,49.629448,6.157348,5,,,,,,
#00044-ARELER STROOSS,49.6162,6.0984,3,,,,,,
#00107-LEUDELANGE GARE,49.586736,6.05966,9,,,,,,
#00019-PHILHARMONIE,49.619345,6.143907,4,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00079-GARE CENTRALE,49.6017,6.1331,15,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00001-LEON XIII,49.598211,6.137526,6,,,,,,
#00133-HALANZY,49.645359,6.128075,7,,,,,,
#00118-PESCHER 4,49.622956,6.074244,11,,,,,,
#00145-PÔLE D'ÉCHANGE HOWALD,49.580898,6.131494,9,,,,,,
#00037-GAULOIS,49.60164,6.13736,6,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00041-PLACE LAURENT,49.620066,6.122905,6,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00129-GARE CAPELLEN,49.638604,5.982361,5,,,,,,
#00058-SCHLUECHTHAUS,49.60136,6.11581,10,,,,,,
#00143-MAIRIE DE WALFERDANGE,49.658862,6.130167,12,,,,,,
#00052-BEI DER AUER,49.591404,6.125333,5,,,,,,
#00084-BITBOURG,49.61349,6.17066,6,,,,,,
#00089-PLACE THORN,49.60361,6.10278,5,,,,,,
#00031-PLACE DE FRANCE,49.60625,6.105961,9,,,,,,
#00112-PLACE DE L'INDEPENDANCE,49.62635,6.022996,0,,,,,,
#00014-KNUEDLER,49.610126,6.132084,9,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
BORNE ATELIER LUX,49.6168333870108,6.05420384349982,3,,,,,,
#00040-GLACIS KAPELL,49.6147,6.1211,2,,,,,,
#00120-A RILSPERT,49.60751,6.045842,2,,,,,,
#00020-COQUE,49.62297,6.15497,4,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00069-UM REIMERWEE,49.61769,6.08276,10,,,,,,
#00087-NATIONALBIBLIOTHEIK,49.629865,6.166252,2,,,,,,
#00074-SAINTE CUNEGONDE,49.6146,6.14283,7,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00111-HALL SPORTIF NICOLAS FRANTZ,49.623154,6.024879,5,,,,,,
#00032-PISCINE OLYMPIQUE,49.623901,6.150013,2,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00015-THEATER PLAZ,49.612782,6.131208,5,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00124-BARTRENG - CITE RIEDGEN,49.616795,6.058614,9,,,,,,
#00119-RIEDGEN,49.619953,6.063326,4,,,,,,
#00046-LONKECHER STROOSS,49.60563,6.10003,5,,,,,,
#00142-BERELER SCHOUL,49.653525,6.127049,9,,,,,,
#00095-MAIRIE DE BERTRANGE,49.61093,6.051527,9,,,,,,
#00049-MARGUERITES,49.623837,6.160642,6,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00132-CENTRE DE TENNIS PAUL GLÜCK,49.642519,5.99179,5,,,,,,
#00043-LYCEE TECHNIQUE DE BONNEVOIE,49.5911,6.1416,3,,,,,,
#00122-DICKS,49.604944,6.05228,3,,,,,,
#00086-PWC - BD KOCKELSCHEUER,49.580242,6.120862,0,,,,,,
#00012-HAMILIUS,49.610738,6.126743,1,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
#00101-MÜNCHEN-TESCH,49.628293,6.133301,10,,,,,,
#00048-BGL BNP PARIBAS,49.632179,6.174446,5,,,,,,
#00138-A SCHOMMESCH,49.659778,6.241714,10,,,,,,
#00080-INS,49.612542,6.147918,2,Brauerei - Big Beer Company,Brasseries,3.4,5.0,49.6125854040965,6.14234889852527
